Month,Season,Product type,Price,Availability,Number of products sold,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping costs,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,Location,Seasonal_Factor,Correct_Revenue
11,Festive,skincare,84.67,83,1949,Female,450,13,287,10,16.23,444,22,39.3,Pass,0.137,Rail,Route C,61.13,Kolkata,1.3,214528.38
2,Winter,skincare,73.6,43,878,Male,367,9,227,12,24.45,397,28,41.38,Pass,0.04,Air,Route B,119.71,Chennai,0.9,58158.72
11,Festive,haircare,105.55,28,926,Female,149,10,124,3,18.92,945,28,28.79,Pending,0.214,Rail,Route C,229.67,Hyderabad,1.3,127061.09
3,Summer,skincare,110.86,27,379,Female,177,8,173,9,17.36,420,34,98.15,Fail,0.1,Air,Route C,97.42,Mumbai,1.1,46217.53
5,Summer,skincare,55.28,78,1211,Male,185,1,294,6,21.26,1411,31,109.67,Fail,0.052,Air,Route C,117.8,Bangalore,1.1,73638.49
3,Summer,skincare,130.43,36,1283,Female,280,3,232,2,3.24,1254,34,81.61,Fail,0.242,Air,Route B,106.03,Bangalore,1.1,184075.86
11,Festive,skincare,64.79,62,1084,Male,409,5,95,11,8.66,447,8,104.99,Pass,0.163,Rail,Route B,125.46,Chennai,1.3,91302.07
8,Rainy,haircare,52.4,87,1937,Non-binary,152,7,198,8,7.75,900,31,110.59,Fail,0.23,Air,Route B,230.6,Delhi,0.95,96423.86
12,Festive,skincare,78.77,23,127,Non-binary,31,16,62,8,5.44,861,7,34.67,Fail,0.061,Sea,Route B,65.17,Bangalore,1.3,13004.93
10,Festive,haircare,117.67,27,1651,Male,151,8,24,11,23.63,484,10,58.63,Pass,0.162,Sea,Route A,55.5,Hyderabad,1.3,252555.12
8,Rainy,skincare,145.85,61,909,Male,427,1,136,13,5.88,81,11,33.87,Pending,0.108,Sea,Route B,53.52,Hyderabad,0.95,125948.77
8,Rainy,haircare,127.11,68,1994,Female,172,3,185,4,8.78,860,25,59.66,Pass,0.011,Road,Route A,246.71,Delhi,0.95,240784.47
12,Festive,skincare,142.84,25,371,Male,301,6,127,12,10.37,1490,11,66.92,Pass,0.119,Air,Route A,202.57,Mumbai,1.3,68891.73
12,Festive,haircare,46.87,92,1223,Female,74,12,191,4,16.74,567,6,91.0,Pending,0.086,Rail,Route C,187.46,Delhi,1.3,74518.61
9,Rainy,skincare,38.54,61,1327,Non-binary,275,15,77,5,19.88,1231,13,86.99,Pass,0.022,Rail,Route B,197.32,Mumbai,0.95,48585.45
4,Summer,haircare,96.92,91,289,Male,145,17,201,6,16.3,635,7,118.89,Pending,0.187,Air,Route A,66.49,Kolkata,1.1,30810.87
5,Summer,skincare,64.84,51,645,Non-binary,65,18,203,6,19.48,719,19,42.61,Pass,0.137,Air,Route C,107.77,Mumbai,1.1,46003.98
5,Summer,skincare,129.37,34,393,Male,193,17,187,6,11.85,122,39,35.49,Fail,0.008,Sea,Route A,120.86,Mumbai,1.1,55926.65
8,Rainy,haircare,110.64,88,1913,Non-binary,318,12,56,7,24.91,1207,25,92.77,Pass,0.061,Sea,Route A,137.57,Mumbai,0.95,201071.6
7,Rainy,haircare,146.49,46,947,Male,463,16,151,2,6.74,177,21,90.29,Pass,0.242,Rail,Route B,53.94,Bangalore,0.95,131789.73
9,Rainy,haircare,60.58,85,1467,Male,436,12,18,8,11.79,1399,10,33.52,Pass,0.18,Sea,Route C,105.83,Chennai,0.95,84427.32
8,Rainy,haircare,88.29,78,870,Female,40,4,21,13,21.31,770,19,101.78,Pending,0.231,Sea,Route C,106.84,Kolkata,0.95,72971.68
2,Winter,haircare,90.15,47,868,Female,490,9,101,5,8.43,1459,16,54.3,Pending,0.139,Rail,Route B,207.45,Chennai,0.9,70425.18
10,Festive,skincare,58.7,43,152,Male,274,15,22,14,19.52,563,37,67.11,Pending,0.207,Air,Route A,106.56,Mumbai,1.3,11599.12
12,Festive,haircare,100.81,70,1827,Female,184,5,286,6,11.01,1083,14,88.68,Pass,0.127,Air,Route A,165.63,Hyderabad,1.3,239433.83
4,Summer,haircare,83.19,40,783,Male,287,11,47,9,6.91,1134,10,80.73,Pending,0.122,Rail,Route A,140.03,Bangalore,1.1,71651.55
6,Rainy,skincare,83.61,50,1170,Male,120,18,291,14,11.87,562,37,86.75,Pass,0.05,Road,Route A,155.82,Delhi,0.95,92932.52
12,Festive,haircare,73.53,94,1110,Non-binary,168,1,287,9,20.27,339,17,31.47,Pass,0.197,Sea,Route C,44.42,Kolkata,1.3,106103.79
2,Winter,haircare,32.03,69,1545,Female,160,16,253,13,5.46,800,6,48.81,Pass,0.128,Sea,Route B,203.06,Bangalore,0.9,44537.72
7,Rainy,haircare,92.65,59,802,Female,392,18,253,6,14.35,853,22,101.23,Pending,0.046,Air,Route B,96.41,Chennai,0.95,70590.04
3,Summer,skincare,70.23,87,982,Non-binary,52,13,46,12,19.31,217,21,113.01,Pending,0.11,Air,Route C,146.72,Bangalore,1.1,75862.45
3,Summer,haircare,30.16,35,564,Male,255,16,241,14,19.53,1444,38,61.36,Pending,0.118,Rail,Route B,222.78,Kolkata,1.1,18711.26
11,Festive,skincare,66.95,95,652,Female,217,16,182,4,11.57,965,12,116.22,Pass,0.009,Road,Route A,41.82,Kolkata,1.3,56746.82
2,Winter,skincare,63.44,82,1016,Male,254,3,260,11,13.26,1297,33,113.15,Fail,0.184,Road,Route A,124.62,Mumbai,0.9,58009.54
11,Festive,haircare,77.21,75,1552,Female,351,18,129,9,21.85,66,10,105.09,Pending,0.005,Sea,Route A,222.78,Chennai,1.3,155778.9
8,Rainy,skincare,45.82,99,1107,Female,464,11,23,3,7.58,365,19,95.05,Pass,0.139,Sea,Route A,200.84,Mumbai,0.95,48186.6
6,Rainy,haircare,90.92,43,1520,Male,139,13,283,13,24.84,182,35,73.08,Fail,0.161,Rail,Route C,148.99,Mumbai,0.95,131288.48
1,Winter,haircare,113.09,47,293,Male,177,2,144,10,12.22,882,34,41.28,Fail,0.011,Rail,Route B,63.17,Bangalore,0.9,29821.83
12,Festive,haircare,105.62,50,165,Female,56,3,197,7,9.06,784,24,45.43,Pending,0.081,Air,Route C,98.57,Hyderabad,1.3,22655.49
1,Winter,haircare,126.45,34,654,Non-binary,357,1,64,11,3.06,1091,30,36.12,Pass,0.193,Sea,Route C,134.18,Delhi,0.9,74428.47
7,Rainy,haircare,84.24,61,1825,Non-binary,163,1,299,5,5.75,118,24,104.84,Pending,0.036,Sea,Route A,89.62,Mumbai,0.95,146051.1
8,Rainy,skincare,92.29,69,700,Non-binary,64,15,136,5,19.64,111,28,20.64,Pending,0.124,Road,Route A,44.59,Bangalore,0.95,61372.85
5,Summer,skincare,127.25,24,1599,Non-binary,218,3,268,4,17.28,1400,20,46.69,Fail,0.028,Sea,Route B,248.14,Bangalore,1.1,223820.03
12,Festive,skincare,81.32,67,1811,Non-binary,257,4,109,12,8.42,447,8,80.54,Pending,0.24,Sea,Route A,138.75,Bangalore,1.3,191451.68
11,Festive,skincare,114.19,32,1149,Male,148,12,168,6,23.39,952,38,118.59,Pending,0.058,Road,Route B,120.23,Mumbai,1.3,170565.6
5,Summer,haircare,82.15,51,1222,Female,200,12,32,7,21.39,1167,7,49.8,Pending,0.11,Air,Route C,174.58,Kolkata,1.1,110426.03
4,Summer,haircare,80.13,86,575,Non-binary,47,14,209,11,8.92,450,7,41.06,Fail,0.106,Road,Route A,169.96,Delhi,1.1,50682.23
6,Rainy,skincare,121.22,98,672,Female,456,11,74,4,10.26,446,5,27.54,Fail,0.15,Rail,Route C,52.72,Chennai,0.95,77386.85
6,Rainy,haircare,50.98,49,861,Male,319,6,192,10,7.06,457,16,48.41,Pending,0.082,Air,Route A,90.56,Kolkata,0.95,41699.09
3,Summer,skincare,70.63,25,986,Female,86,14,236,9,17.14,533,23,102.68,Fail,0.12,Sea,Route C,103.34,Kolkata,1.1,76605.3
9,Rainy,skincare,56.9,44,929,Male,261,2,120,13,18.43,880,39,33.1,Fail,0.231,Road,Route B,155.74,Delhi,0.95,50217.09
12,Festive,skincare,73.09,47,1860,Female,382,3,88,7,11.71,1224,9,34.85,Pending,0.014,Air,Route A,240.8,Kolkata,1.3,176731.62
11,Festive,skincare,57.64,81,181,Female,263,18,254,6,19.22,455,14,34.28,Pass,0.004,Rail,Route C,177.04,Mumbai,1.3,13562.69
7,Rainy,haircare,99.53,41,1521,Male,186,8,101,12,24.81,330,14,31.64,Pending,0.249,Road,Route B,234.5,Chennai,0.95,143815.87
1,Winter,haircare,125.78,87,1817,Female,285,2,149,4,16.46,966,39,65.3,Pass,0.117,Sea,Route A,246.23,Bangalore,0.9,205688.03
7,Rainy,skincare,124.39,34,799,Male,70,16,10,4,17.28,846,29,102.76,Fail,0.083,Sea,Route C,54.33,Hyderabad,0.95,94418.23
5,Summer,skincare,73.74,45,1516,Female,128,14,276,9,11.22,559,35,65.96,Pass,0.054,Sea,Route C,150.33,Delhi,1.1,122968.82
5,Summer,skincare,148.65,82,143,Female,417,19,60,7,3.23,1186,23,74.4,Pass,0.17,Rail,Route A,110.38,Delhi,1.1,23382.65
2,Winter,skincare,101.26,37,923,Non-binary,354,4,238,11,23.99,167,11,77.18,Fail,0.157,Air,Route B,105.31,Bangalore,0.9,84116.68
4,Summer,skincare,77.93,92,1601,Female,153,6,54,12,19.99,566,13,58.54,Pending,0.066,Rail,Route B,96.84,Delhi,1.1,137242.52
12,Festive,haircare,130.26,82,1894,Non-binary,186,12,108,7,18.3,755,29,53.91,Pending,0.061,Sea,Route C,93.84,Chennai,1.3,320726.17
6,Rainy,skincare,117.58,81,709,Non-binary,99,10,81,5,3.66,229,27,83.28,Fail,0.208,Rail,Route A,149.83,Mumbai,0.95,79196.01
10,Festive,skincare,119.91,87,1988,Male,357,9,296,4,19.7,456,17,55.02,Pending,0.185,Road,Route C,247.47,Hyderabad,1.3,309895.4
11,Festive,haircare,53.54,67,1214,Male,118,3,94,7,17.74,435,15,31.7,Pass,0.191,Road,Route B,142.22,Hyderabad,1.3,84496.83
7,Rainy,haircare,86.2,69,1950,Female,451,1,190,2,15.52,1287,39,106.27,Pass,0.114,Air,Route A,178.94,Mumbai,0.95,159685.5
11,Festive,haircare,133.42,82,1452,Male,172,14,226,12,16.72,902,28,78.66,Pass,0.078,Rail,Route A,151.25,Mumbai,1.3,251843.59
5,Summer,haircare,90.48,88,1776,Non-binary,395,8,165,14,23.2,157,38,102.86,Fail,0.124,Sea,Route A,227.64,Kolkata,1.1,176761.73
9,Rainy,haircare,112.01,25,1537,Female,308,18,74,6,3.15,217,19,67.72,Pass,0.148,Road,Route C,85.26,Chennai,0.95,163551.4
3,Summer,haircare,100.55,77,1944,Male,102,12,152,8,6.45,1262,15,84.35,Fail,0.181,Sea,Route C,61.59,Kolkata,1.1,215016.12
1,Winter,haircare,131.08,70,1887,Male,121,12,240,2,22.68,138,23,111.95,Pending,0.115,Sea,Route B,132.62,Mumbai,0.9,222613.16
4,Summer,haircare,64.15,31,819,Male,350,10,29,14,3.18,1464,32,94.88,Fail,0.174,Rail,Route A,162.05,Delhi,1.1,57792.74
9,Rainy,haircare,99.06,66,790,Non-binary,395,4,201,11,22.88,74,18,55.08,Fail,0.13,Sea,Route A,72.63,Delhi,0.95,74344.53
4,Summer,skincare,44.79,28,1933,Male,250,5,144,13,3.65,1027,11,52.84,Fail,0.04,Air,Route C,171.78,Chennai,1.1,95236.98
2,Winter,haircare,112.83,26,798,Female,470,8,212,5,20.15,145,36,47.24,Fail,0.019,Rail,Route C,93.9,Delhi,0.9,81034.51
10,Festive,skincare,117.84,48,936,Female,271,19,168,3,22.6,171,5,67.59,Pass,0.14,Rail,Route A,59.02,Kolkata,1.3,143387.71
5,Summer,skincare,35.14,97,209,Female,377,6,171,14,16.48,747,26,112.01,Pass,0.116,Road,Route A,232.4,Chennai,1.1,8078.69
3,Summer,skincare,111.09,70,318,Non-binary,340,16,212,2,17.11,1401,37,21.77,Fail,0.095,Sea,Route B,48.95,Delhi,1.1,38859.28
12,Festive,skincare,79.76,74,562,Male,443,9,97,2,4.11,1087,16,96.07,Fail,0.143,Sea,Route C,50.41,Delhi,1.3,58272.66
9,Rainy,skincare,44.89,78,959,Female,44,11,60,13,7.64,1441,33,55.24,Pass,0.175,Air,Route C,246.82,Chennai,0.95,40897.03
4,Summer,skincare,80.39,75,614,Male,76,3,193,8,22.79,183,37,101.01,Pass,0.058,Rail,Route C,113.54,Mumbai,1.1,54295.41
6,Rainy,skincare,53.31,41,1676,Male,435,14,294,7,21.12,1192,37,63.39,Pass,0.136,Road,Route C,159.27,Delhi,0.95,84880.18
2,Winter,skincare,79.87,37,736,Female,321,5,259,8,4.31,1152,26,92.21,Pending,0.055,Air,Route C,80.09,Delhi,0.9,52905.89
6,Rainy,haircare,76.12,77,1380,Non-binary,119,6,222,2,20.89,725,10,103.79,Pass,0.16,Road,Route C,130.7,Mumbai,0.95,99793.32
3,Summer,skincare,118.61,59,1316,Female,407,1,298,11,12.32,1012,35,67.03,Pending,0.139,Sea,Route C,55.57,Bangalore,1.1,171699.84
12,Festive,skincare,122.91,50,726,Female,138,13,15,13,15.34,478,24,93.22,Pending,0.175,Rail,Route B,45.57,Delhi,1.3,116002.46
12,Festive,skincare,102.84,75,169,Non-binary,170,9,46,4,5.38,477,20,26.84,Pending,0.209,Rail,Route B,249.9,Mumbai,1.3,22593.95
9,Rainy,skincare,32.72,54,558,Male,99,3,190,8,11.77,442,37,49.79,Pass,0.082,Rail,Route C,82.99,Delhi,0.95,17344.87
11,Festive,haircare,141.72,45,1505,Male,350,6,267,11,12.57,502,15,52.24,Pass,0.223,Road,Route B,121.18,Kolkata,1.3,277275.18
2,Winter,skincare,112.35,87,1941,Non-binary,169,8,115,11,17.73,1201,38,67.56,Pass,0.019,Rail,Route A,164.54,Mumbai,0.9,196264.22
12,Festive,haircare,34.1,53,1617,Female,378,4,231,10,17.47,61,32,84.69,Fail,0.159,Rail,Route A,148.72,Kolkata,1.3,71681.61
12,Festive,haircare,128.26,95,1971,Non-binary,145,6,126,7,15.08,114,10,67.01,Pending,0.077,Road,Route C,115.83,Chennai,1.3,328640.6
9,Rainy,skincare,54.03,35,196,Female,308,12,188,9,3.69,1257,5,104.32,Pass,0.187,Sea,Route C,44.27,Chennai,0.95,10060.39
5,Summer,skincare,99.51,61,1851,Non-binary,60,12,100,10,6.55,582,26,45.82,Pass,0.002,Road,Route B,145.55,Kolkata,1.1,202612.31
8,Rainy,haircare,86.0,24,1950,Male,209,7,159,8,6.53,1094,37,33.49,Pass,0.208,Rail,Route C,238.41,Chennai,0.95,159315.0
2,Winter,skincare,80.38,80,323,Non-binary,441,16,180,10,22.53,652,22,57.08,Fail,0.208,Road,Route C,195.35,Chennai,0.9,23366.47
6,Rainy,skincare,136.77,63,1965,Non-binary,459,7,201,12,22.84,563,33,44.25,Fail,0.121,Road,Route A,190.55,Delhi,0.95,255315.4
3,Summer,haircare,82.48,54,930,Female,82,3,46,11,20.74,1465,6,79.35,Pending,0.232,Road,Route B,238.77,Kolkata,1.1,84377.04
12,Festive,haircare,39.04,20,1404,Female,224,13,109,14,6.85,445,5,77.03,Fail,0.104,Air,Route B,80.36,Hyderabad,1.3,71255.81
12,Festive,skincare,143.6,62,1456,Female,360,9,40,5,21.48,994,10,93.68,Pass,0.226,Sea,Route C,244.34,Bangalore,1.3,271806.08
10,Festive,skincare,140.46,51,740,Non-binary,223,11,103,10,7.13,58,31,98.61,Pass,0.0,Road,Route C,246.34,Chennai,1.3,135122.52
5,Summer,skincare,112.13,82,1734,Non-binary,458,7,279,10,15.2,820,19,34.19,Pass,0.102,Air,Route A,143.67,Kolkata,1.1,213876.76
12,Festive,haircare,86.15,52,1905,Female,198,15,107,3,19.15,903,18,54.45,Fail,0.015,Air,Route C,203.18,Chennai,1.3,213350.48
8,Rainy,skincare,41.14,96,1528,Male,365,1,61,12,4.13,1050,36,27.87,Pending,0.048,Air,Route A,44.75,Kolkata,0.95,59718.82
10,Festive,haircare,124.89,85,595,Female,340,2,16,10,16.15,510,15,87.97,Fail,0.11,Rail,Route C,243.64,Kolkata,1.3,96602.42
1,Winter,haircare,39.06,49,1882,Non-binary,124,1,255,4,8.52,777,9,100.14,Fail,0.171,Air,Route B,134.89,Hyderabad,0.9,66159.83
5,Summer,skincare,38.23,29,1309,Non-binary,332,15,27,12,13.95,1203,23,116.15,Fail,0.078,Air,Route B,247.93,Delhi,1.1,55047.38
3,Summer,haircare,94.49,42,1879,Female,105,4,194,8,11.45,1460,31,115.7,Pass,0.058,Sea,Route A,130.57,Mumbai,1.1,195301.38
4,Summer,skincare,49.22,58,1161,Female,430,4,239,14,18.1,459,5,83.18,Fail,0.213,Rail,Route B,178.27,Delhi,1.1,62858.86
2,Winter,skincare,30.93,64,868,Non-binary,460,14,211,12,13.76,185,37,93.93,Fail,0.014,Rail,Route A,64.77,Mumbai,0.9,24162.52
9,Rainy,haircare,80.77,48,1975,Non-binary,458,5,53,14,9.64,742,35,40.87,Pending,0.211,Sea,Route B,72.49,Kolkata,0.95,151544.71
3,Summer,skincare,46.47,49,859,Male,499,1,107,13,23.03,1056,33,78.3,Pass,0.007,Air,Route B,134.03,Delhi,1.1,43909.5
2,Winter,haircare,49.26,53,1768,Female,347,15,72,4,24.1,566,5,53.08,Fail,0.002,Rail,Route A,120.06,Delhi,0.9,78382.51
10,Festive,haircare,39.23,71,587,Female,270,7,169,13,20.64,761,31,30.9,Pass,0.234,Air,Route C,65.77,Hyderabad,1.3,29936.41
11,Festive,skincare,54.61,41,655,Male,357,16,152,12,15.78,223,11,69.06,Fail,0.085,Rail,Route A,48.03,Chennai,1.3,46500.42
9,Rainy,skincare,115.86,24,1091,Non-binary,23,14,11,14,22.46,1112,35,62.11,Pass,0.041,Road,Route C,199.9,Delhi,0.95,120083.1
7,Rainy,skincare,127.07,30,1828,Non-binary,340,15,160,6,16.24,1439,33,26.92,Pending,0.046,Sea,Route A,76.87,Kolkata,0.95,220669.76
6,Rainy,skincare,84.3,51,1629,Male,203,15,32,13,6.27,849,7,115.44,Fail,0.162,Rail,Route A,222.99,Delhi,0.95,130458.46
1,Winter,haircare,90.79,43,588,Female,200,1,236,3,3.38,912,6,115.64,Pending,0.207,Rail,Route A,126.77,Chennai,0.9,48046.07
5,Summer,haircare,33.92,30,156,Non-binary,319,19,291,11,18.97,175,13,75.88,Pending,0.112,Air,Route B,130.77,Chennai,1.1,5820.67
12,Festive,haircare,38.32,30,611,Male,35,7,250,11,19.55,812,34,114.44,Pending,0.056,Air,Route A,102.82,Kolkata,1.3,30437.58
11,Festive,skincare,60.91,36,1371,Male,113,18,150,4,23.37,1201,18,45.82,Pass,0.078,Air,Route C,92.58,Chennai,1.3,108559.89
11,Festive,haircare,95.27,51,203,Male,298,15,177,11,21.13,536,24,99.15,Pass,0.05,Sea,Route B,114.59,Kolkata,1.3,25141.75
3,Summer,haircare,118.75,46,656,Non-binary,434,13,125,5,17.07,803,18,114.92,Pending,0.048,Road,Route B,209.82,Bangalore,1.1,85690.0
1,Winter,skincare,102.6,51,159,Non-binary,175,19,19,11,7.19,1002,26,59.53,Pass,0.14,Road,Route B,183.25,Delhi,0.9,14682.06
4,Summer,skincare,77.06,80,1701,Male,453,18,176,13,16.07,1245,31,50.25,Pending,0.132,Road,Route A,234.46,Delhi,1.1,144186.97
2,Winter,skincare,44.2,44,834,Male,376,4,99,13,12.56,384,19,89.46,Pass,0.169,Air,Route A,143.71,Kolkata,0.9,33176.52
2,Winter,haircare,123.69,83,1682,Non-binary,35,18,120,7,8.11,350,30,67.38,Pass,0.044,Sea,Route B,209.32,Bangalore,0.9,187241.92
3,Summer,skincare,73.65,83,1361,Non-binary,60,4,189,12,20.58,653,19,57.85,Fail,0.01,Air,Route B,81.89,Bangalore,1.1,110261.42
8,Rainy,haircare,118.33,47,470,Non-binary,156,16,193,7,6.29,225,35,97.78,Fail,0.142,Rail,Route B,53.79,Kolkata,0.95,52834.34
8,Rainy,haircare,91.56,59,125,Non-binary,277,14,273,14,16.87,1295,15,43.93,Pending,0.22,Air,Route B,93.97,Chennai,0.95,10872.75
12,Festive,haircare,118.64,33,492,Non-binary,385,14,190,4,16.44,727,18,88.82,Fail,0.178,Sea,Route A,215.33,Delhi,1.3,75882.14
7,Rainy,haircare,138.87,61,1942,Male,62,7,22,4,9.68,558,8,58.76,Pass,0.055,Rail,Route B,243.12,Bangalore,0.95,256201.26
6,Rainy,haircare,140.52,58,705,Non-binary,85,13,183,10,12.44,384,39,46.13,Pass,0.106,Sea,Route A,188.52,Bangalore,0.95,94113.27
9,Rainy,skincare,94.21,21,209,Non-binary,371,14,95,11,5.56,1496,36,113.1,Pass,0.054,Sea,Route C,126.39,Delhi,0.95,18705.4
4,Summer,haircare,91.38,20,1515,Male,227,10,45,3,3.56,740,36,44.79,Pass,0.042,Road,Route C,211.64,Hyderabad,1.1,152284.77
12,Festive,skincare,61.88,51,872,Male,264,13,180,5,3.29,1365,18,58.68,Fail,0.219,Rail,Route C,175.14,Delhi,1.3,70147.17
1,Winter,haircare,142.3,83,353,Female,262,6,103,6,6.84,1093,38,82.11,Pass,0.038,Road,Route A,59.04,Kolkata,0.9,45208.71
8,Rainy,haircare,84.95,97,1930,Non-binary,96,11,72,9,22.07,574,7,26.11,Pass,0.174,Air,Route B,236.1,Mumbai,0.95,155755.82
7,Rainy,skincare,45.31,50,1959,Female,452,6,77,9,14.5,1376,27,30.21,Pass,0.088,Road,Route B,69.38,Kolkata,0.95,84324.18
7,Rainy,haircare,81.92,77,1675,Female,238,11,150,7,5.58,582,26,82.89,Pass,0.065,Sea,Route A,135.83,Kolkata,0.95,130355.2
3,Summer,haircare,45.25,97,1927,Male,400,19,143,3,22.92,456,5,79.12,Pending,0.233,Sea,Route A,247.32,Kolkata,1.1,95916.42
4,Summer,skincare,90.3,33,1016,Male,242,17,155,11,15.52,607,18,80.27,Fail,0.221,Sea,Route B,104.49,Mumbai,1.1,100919.28
10,Festive,skincare,97.35,88,865,Female,372,3,273,14,3.61,820,21,79.32,Pending,0.057,Road,Route C,69.57,Mumbai,1.3,109470.08
9,Rainy,haircare,70.53,35,1220,Female,40,1,178,11,19.78,775,19,103.46,Pass,0.103,Sea,Route A,186.59,Bangalore,0.95,81744.27
6,Rainy,haircare,38.6,88,637,Female,166,16,222,2,13.42,1497,31,53.04,Pass,0.176,Sea,Route C,113.75,Delhi,0.95,23358.79
5,Summer,haircare,143.22,73,1227,Female,387,12,65,8,14.72,497,21,37.56,Pass,0.203,Rail,Route C,156.59,Chennai,1.1,193304.03
3,Summer,skincare,122.8,32,714,Non-binary,332,14,131,11,16.49,1417,6,109.74,Pass,0.11,Sea,Route B,224.75,Chennai,1.1,96447.12
9,Rainy,haircare,130.67,99,686,Female,96,18,243,2,5.08,394,29,75.95,Pending,0.229,Sea,Route A,74.74,Mumbai,0.95,85157.64
5,Summer,skincare,74.02,98,696,Male,335,3,169,12,23.85,483,12,98.9,Pass,0.104,Rail,Route A,146.08,Bangalore,1.1,56669.71
5,Summer,skincare,121.3,50,1619,Female,422,8,132,4,8.62,1221,14,39.19,Pending,0.027,Road,Route B,64.86,Delhi,1.1,216023.17
4,Summer,haircare,88.24,88,1337,Female,374,18,31,10,16.68,1223,32,66.37,Fail,0.246,Rail,Route A,153.12,Delhi,1.1,129774.57
4,Summer,skincare,54.13,40,212,Male,467,16,227,7,21.82,1454,39,31.82,Pass,0.233,Rail,Route C,218.36,Delhi,1.1,12623.12
12,Festive,haircare,44.93,49,1435,Female,54,15,50,9,10.3,1375,20,29.89,Fail,0.193,Sea,Route A,184.19,Hyderabad,1.3,83816.92
1,Winter,haircare,71.41,42,668,Male,145,2,54,13,16.81,1156,21,65.42,Fail,0.223,Rail,Route C,80.05,Delhi,0.9,42931.69
7,Rainy,skincare,46.51,57,1054,Non-binary,436,16,270,10,24.76,1105,5,79.51,Pass,0.162,Air,Route C,180.01,Kolkata,0.95,46570.46
9,Rainy,skincare,149.79,48,995,Non-binary,342,10,21,8,21.74,422,26,112.76,Fail,0.101,Air,Route C,137.08,Kolkata,0.95,141589.0
3,Summer,skincare,35.9,96,1224,Male,488,11,242,9,20.14,804,8,24.88,Pending,0.094,Air,Route A,116.82,Delhi,1.1,48335.76
12,Festive,skincare,82.94,51,861,Non-binary,251,19,242,5,12.66,1099,31,57.26,Pass,0.077,Air,Route C,80.02,Bangalore,1.3,92834.74
2,Winter,skincare,84.25,81,1770,Non-binary,106,19,297,6,12.93,349,25,93.96,Pass,0.171,Air,Route C,101.51,Delhi,0.9,134210.25
3,Summer,skincare,66.08,64,1037,Non-binary,323,10,283,14,13.68,313,15,50.4,Pending,0.074,Sea,Route B,47.8,Hyderabad,1.1,75377.46
1,Winter,haircare,98.56,68,752,Male,207,17,211,8,18.19,1390,35,95.29,Pass,0.085,Rail,Route A,227.74,Mumbai,0.9,66705.41
6,Rainy,haircare,48.0,52,183,Female,64,1,96,10,6.18,748,8,115.04,Pass,0.125,Sea,Route A,105.58,Bangalore,0.95,8344.8
11,Festive,haircare,124.07,23,818,Non-binary,350,7,190,9,21.94,793,27,78.85,Pending,0.111,Rail,Route A,228.86,Kolkata,1.3,131936.04
11,Festive,skincare,69.89,37,1865,Female,343,16,179,8,3.4,577,28,45.07,Pass,0.012,Sea,Route A,238.1,Delhi,1.3,169448.31
7,Rainy,skincare,100.96,89,967,Female,471,11,238,5,6.74,1018,15,79.51,Fail,0.108,Sea,Route A,187.19,Kolkata,0.95,92746.9
11,Festive,skincare,115.88,83,1048,Non-binary,418,18,91,12,13.6,922,16,50.33,Fail,0.122,Air,Route C,164.05,Hyderabad,1.3,157874.91
11,Festive,haircare,136.69,47,401,Non-binary,367,1,220,2,8.55,764,14,36.94,Pass,0.139,Air,Route B,222.11,Delhi,1.3,71256.5
2,Winter,haircare,130.29,77,1696,Female,91,2,175,2,11.04,827,34,99.26,Pending,0.217,Road,Route A,56.36,Chennai,0.9,198874.66
8,Rainy,skincare,103.0,75,1340,Non-binary,235,2,37,13,10.32,1324,19,86.29,Fail,0.087,Rail,Route A,169.5,Hyderabad,0.95,131119.0
6,Rainy,skincare,76.61,39,667,Male,117,6,31,6,8.92,614,11,105.0,Fail,0.175,Rail,Route B,234.1,Bangalore,0.95,48543.93
4,Summer,skincare,90.38,96,640,Male,290,8,41,8,11.37,602,36,107.2,Pending,0.229,Rail,Route C,228.14,Chennai,1.1,63627.52
5,Summer,skincare,122.25,53,1746,Non-binary,426,14,146,12,14.12,566,11,55.66,Fail,0.233,Rail,Route B,201.77,Hyderabad,1.1,234793.35
8,Rainy,haircare,135.31,29,191,Female,463,8,74,13,13.48,52,10,31.25,Fail,0.235,Rail,Route C,91.1,Mumbai,0.95,24552.0
3,Summer,haircare,42.45,41,753,Non-binary,110,17,88,9,20.86,510,34,67.15,Pass,0.21,Sea,Route A,180.7,Hyderabad,1.1,35161.34
3,Summer,haircare,76.18,24,1575,Male,161,5,264,8,9.78,922,19,55.45,Pass,0.139,Road,Route B,228.13,Mumbai,1.1,131981.85
11,Festive,skincare,123.13,63,713,Female,136,3,72,5,9.2,1357,38,83.33,Fail,0.177,Road,Route A,115.16,Mumbai,1.3,114129.2
4,Summer,haircare,81.8,28,170,Non-binary,21,18,85,12,14.1,969,10,104.3,Pass,0.017,Road,Route B,175.0,Kolkata,1.1,15296.6
1,Winter,skincare,69.87,62,1648,Male,400,10,291,8,4.05,215,31,81.15,Pass,0.047,Sea,Route C,126.75,Chennai,0.9,103631.18
9,Rainy,skincare,79.36,23,1524,Female,62,4,44,7,5.46,627,8,21.08,Pass,0.248,Sea,Route C,229.69,Mumbai,0.95,114897.41
